,player,image_url
0,Jaylen Adams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png
1,Steven Adams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
2,Bam Adebayo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png
3,LaMarcus Aldridge,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png
4,Nickeil Alexander-Walker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png
5,Kyle Alexander,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629734.png
6,Grayson Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png
7,Jarrett Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png
8,Al-Farouq Aminu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png
9,Kyle Anderson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png
10,Giannis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
11,Kostas Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628961.png
12,Thanasis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png
13,Carmelo Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png
14,OG Anunoby,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628384.png
15,Ryan Arcidiacono,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627853.png
16,Trevor Ariza,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2772.png
17,D.J. Augustin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201571.png
18,Deandre Ayton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629028.png
19,Dwayne Bacon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628407.png
20,Marvin Bagley III,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628963.png
21,Lonzo Ball,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
22,Mo Bamba,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628964.png
23,J.J. Barea,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200826.png
24,Harrison Barnes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203084.png
25,RJ Barrett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png
26,Will Barton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203115.png
27,Keita Bates-Diop,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png
28,Nicolas Batum,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png
29,Aron Baynes,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203382.png
30,Kent Bazemore,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203145.png
31,Darius Bazley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png
32,Bradley Beal,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png
33,Malik Beasley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
34,Michael Beasley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201563.png
35,Marco Belinelli,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201158.png
36,Jordan Bell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628395.png
37,DeAndre' Bembry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
38,Davis Bertans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png
39,Patrick Beverley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201976.png
40,Khem Birch,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
41,Goga Bitadze,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629048.png
42,Bismack Biyombo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202687.png
43,Nemanja Bjelica,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202357.png
44,Eric Bledsoe,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png
45,Bogdan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203992.png
46,Bojan Bogdanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
