Voter Name,Affiliation,1st,2nd,3rd,4th,5th
Scott Agness,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Marv Albert,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Durant, Kevin (GSW)"
Sam Amick,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)"
Greg Anthony,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)"
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)"
Jon Barry,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","George, Paul (OKC)","Curry, Stephen (GSW)"
Michelle Beadle,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)"
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)"
A. Sherrod Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)"
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Lillard, Damian (POR)","Jokic, Nikola (DEN)"
Mike Breen,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)"
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)"
Ric Bucher,Bleacher Report,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Durant, Kevin (GSW)"
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Dave Campbell,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)"
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
David Cobb,Memphis Commercial Appeal,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Lillard, Damian (POR)","Gobert, Rudy (UTA)"
Sean Deveney,The Sporting News,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","George, Paul (OKC)","Jokic, Nikola (DEN)"
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)"
Paul Flannery,SB Nation,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)"
Reid Forgrave,CBSSports.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)"
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Lillard, Damian (POR)"
Vince Goodwill,Yahoo!,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)"
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)"
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)"
Will Guillory,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)"
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)"
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","George, Paul (OKC)"
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Lillard, Damian (POR)"
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Lisa Hsu,Tencent,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)"
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Kelly Iko,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)"
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Mark Jackson,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)"
K.C. Johnson,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)"
Mark Jones,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)"
